artist_mbid,artist_name,artist_key
596ffa74-3d08-44ef-b113-765d43d12738,Justin Timberlake,justin timberlake
4593d49a-7f67-46ba-9ec0-126bd676286f,Flo Rida,flo rida
20244d07-534f-4eff-b4d4-930878889970,Taylor Swift,taylor swift
,DJ CAIO VIEIRA,dj caio vieira
,MC Guto VGS,mc guto vgs
,Jhow,jhow
,DJ Japa NK,dj japa nk
25b7b584-d952-4662-a8b9-dd8cdfbfeb64,A$AP Rocky,a$ap rocky
3d2ac6d3-0092-4fdf-8012-5260ae6d24c6,Avenoir,avenoir
d5952849-0b94-4401-ba6f-81559f17f4b9,ivri,ivri
,Nirvana,nirvana
cc0b7089-c08d-4c10-b6b0-873582c17fd6,System of a Down,system of a down
8f9d6bb2-dba4-4cca-9967-cc02b9f4820c,Limp Bizkit,limp bizkit
d75b3154-fb27-479b-b40b-b1b71872a3e0,Lloyd,lloyd
10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,Massive Attack,massive attack
16f7e748-59b4-4705-959c-9276be0ebf6a,Superheaven,superheaven
0211be88-dc0f-4002-a1de-4001bb359d51,Artemas,artemas
32b87bbc-2363-457a-97b4-3103a569f3a7,Thee Sacred Souls,thee sacred souls
f2492c31-54a8-4347-a1fc-f81f72873bbf,Mac DeMarco,mac demarco
b3b9eb0c-d0b4-4570-b816-4e05e308b444,Cássia Eller,cássia eller
446ac261-09ae-43f4-a7e1-2c753c0813ce,Tim Maia,tim maia
7c743881-aed4-47d4-93d5-9fdd6e2904bb,Cartola,cartola
81ae3a8c-269d-41b2-9c4f-51a211787a9a,Armandinho,armandinho
eb105211-4d96-4128-9029-7e0a007965cd,Tiago Iorc,tiago iorc
8032cf05-d916-4b2a-9c53-6e75d4a24bd8,Trippie Redd,trippie redd
,Jovem Dionisio,jovem dionisio
,Luiz Lins,luiz lins
,Tribalistas,tribalistas
47685be0-926f-4be9-b1ae-e32da47a3b99,Legião Urbana,legião urbana
019c2b56-dcb4-4163-b49d-a439abdea332,pumapjl,pumapjl
e7b327ac-8049-4296-a6bb-70774f34e4a3,Ari,ari
,G-Eazy,g-eazy
9167f739-da47-4495-9d63-9c13b40114ac,Summer Walker,summer walker
48262e82-db9f-4a92-b650-dfef979b73ec,Future,future
9b12649a-8051-4051-8c56-131f7f4562a2,MC Cabelinho,mc cabelinho
0b85c931-e60d-4600-a300-e0ac5bc92078,PK,pk
7b91baa1-a9c3-4d9a-9f3e-7ac5d977e053,L7NNON,l7nnon
8264722b-df00-467a-858e-5c97cda169c9,Joji,joji
,Cloke,cloke
985f7e6f-0a7e-4de7-b9ec-a5dac63cb2f7,ZAYN,zayn
,shRk,shrk
,prxz,prxz
97b8d224-5660-419c-8dff-4b3bf0c33983,The Neighbourhood,the neighbourhood
868d573e-8b19-4f75-b02b-85cbef271823,Cleffy,cleffy
,Poseidon,poseidon
,Lil' Wayne,lil' wayne
311dc522-c8c6-4114-9b6c-3ed0ed41316f,Alok,alok
ecab255c-3af3-4154-87ec-2685041ce297,Chase Atlantic,chase atlantic
,JAY-Z,jay-z
272989c8-5535-492d-a25c-9f58803e027f,SZA,sza
,Dreamville,dreamville
81d12ca7-5b89-4d21-8736-860b7400b4eb,Baby Keem,baby keem
afb680f2-b6eb-4cd7-a70b-a63b25c763d5,Bruno Mars,bruno mars
d5cc67b8-1cc4-453b-96e8-44487acdebea,Beach House,beach house
8e494408-8620-4c6a-82c2-c2ca4a1e4f12,Lorde,lorde
9e929256-e00d-4fc8-8e78-0c8217c15306,Lou Garcia,lou garcia
e4bc69e2-a064-4f93-ada1-f7f209cc1cc3,Selena Gomez,selena gomez
0ab49580-c84f-44d4-875f-d83760ea2cfe,Maroon 5,maroon 5
,Sinnerella,sinnerella
457bd07c-0efc-4d59-9798-b941381cc17a,Vestron Vulture,vestron vulture
,HARDSTYLE DEMON,hardstyle demon
41b7a663-a364-4f16-958c-9cb8b821ff55,Jamie Duffy,jamie duffy
61af87f4-16ee-4431-8504-cc06187079fb,XXXTENTACION,xxxtentacion
0984b87f-cd86-4865-888c-ea1f30e99387,Alek Olsen,alek olsen
4843e5c1-c609-4450-bea3-c65783700032,Novulent,novulent
1386273c-5071-4c5d-8e7a-8df207a97c26,Nobu Woods,nobu woods
1c009a08-74d1-4682-bc56-8bfbe9e66b62,Jeremih,jeremih
,SYML,syml
,itssvd,itssvd
b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,Post Malone,post malone
,Léo Foguete,léo foguete
b41b38d4-ef3e-4f37-8c75-cfe9af999696,Cage the Elephant,cage the elephant
382f1005-e9ab-4684-afd4-0bdae4ee37f2,2Pac,2pac
301b45a4-b8b9-410e-8344-4b4eaf96691a,Marshmello,marshmello
2f569e60-0a1b-4fb9-95a4-3dc1525d1aad,Backstreet Boys,backstreet boys
a7472b5e-9b6e-48a6-b910-37c940487086,Lucky Daye,lucky daye
,4batz,4batz
,Disclosure,disclosure
,Nu Aspect,nu aspect
e76382e6-0f72-453f-97cb-cb60d0570fe0,Rscl,rscl
70490f8b-0267-45a3-b81b-8991c425a4fd,Avoure,avoure
2e222fce-02ae-4221-b1c6-3c3242b423b6,ODESZA,odesza
,Cartoon,cartoon
e3492ea0-5997-4241-a7bf-2fd7fb1bfad1,Fetty Wap,fetty wap
381086ea-f511-4aba-bdf9-71c753dc5077,Kendrick Lamar,kendrick lamar
92da4329-77a4-425c-8e92-4280110cace9,Lil Peep,lil peep
5df148ae-78eb-495a-8a0b-d16f3105992d,Noah Cyrus,noah cyrus
7d577034-18d3-4066-85c7-157d3bcce6b5,Kxllswxtch,kxllswxtch
0df563ec-1a79-486e-a46d-5b9862a40311,Melanie Martinez,melanie martinez
56393a36-155f-4f50-adbe-45f4a26c40bf,Clara La San,clara la san
6143403a-df6c-429e-8ee6-ef869896b0da,Quavo,quavo
ac7e838c-3d95-47c2-92a9-81767ad7c217,Empire of the Sun,empire of the sun
,Curren$y,curren$y
c96fe2a8-2d31-4d26-a5ba-3f768a0417d0,Chase Shakur,chase shakur
,Ty Dolla $ign,ty dolla $ign
,Paperboy Fabe,paperboy fabe
63aa26c3-d59b-4da4-84ac-716b54f1ef4d,Tame Impala,tame impala
34557d8f-ee4a-44ab-ae6e-49bb8ac604d0,Cigarettes After Sex,cigarettes after sex
ea4dfa26-f633-4da6-a52a-f49ea4897b58,R.E.M.,r.e.m.
69837400-8e31-4949-aac2-00b46b4df126,Angus & Julia Stone,angus & julia stone
,NYXJVH,nyxjvh
,Wisteria,wisteria
b813183b-6372-41d1-bba3-23235a89a975,Renato Borghetti,renato borghetti
43f91959-8632-45f4-962c-8f422339966e,Bidê ou Balde,bidê ou balde
b0337af1-8d93-4671-b6c9-ba306bf942bf,Central Cee,central cee
93998e01-ff53-4af7-ba2a-5674adcdf21e,H.E.R.,h.e.r.
b29020d6-5dbf-4c99-b16f-c009f8a712ff,Steve Lacy,steve lacy
f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,Ariana Grande,ariana grande
f6beac20-5dfe-4d1f-ae02-0b0a740aafd6,"Tyler, The Creator","tyler, the creator"
,KENN APOLLO,kenn apollo
d0c7656d-8169-4f77-9dbe-b8f24e40105d,Kali Uchis,kali uchis
01809552-4f87-45b0-afff-2c6f0730a3be,Elvis Presley,elvis presley
72c536dc-7137-4477-a521-567eeb840fa8,Bob Dylan,bob dylan
,Vinícius de Moraes,vinícius de moraes
